flight_id,event_time,longitude,latitude,altitude,speed,on_ground,vert_speed
e5259c3,2017-08-02T10:07:57Z,36.77326,40.7341,40000,456,0,0
e5259c3,2017-08-02T10:16:14Z,35.4599,41.10228,40000,463,0,-64
e51e68c,2017-08-02T10:22:18Z,-24.31045,34.2112,35000,493,0,0
e51ab21,2017-08-02T10:08:38Z,38.34343,60.28372,36000,381,0,0
e5259c3,2017-08-02T10:21:39Z,34.59246,41.33545,40000,462,0,0
e529378,2017-08-02T10:09:58Z,28.81142,40.97009,0,11,1,0
e51ab21,2017-08-02T10:19:38Z,36.03673,59.99584,36000,393,0,0
e529378,2017-08-02T10:20:00Z,28.48401,41.28026,11250,367,0,1088
e528944,2017-08-02T10:26:34Z,27.8234,36.56352,40000,488,0,0
e51ab21,2017-08-02T10:14:11Z,37.18474,60.1442,36000,393,0,0
e51e68c,2017-08-02T10:27:15Z,-24.04202,34.85023,35000,494,0,0
e528944,2017-08-02T10:12:34Z,29.50864,35.25448,40000,484,0,-64
e51ab21,2017-08-02T10:15:31Z,36.90113,60.10848,36000,392,0,0
e51ab21,2017-08-02T10:29:15Z,33.95856,59.89811,36000,398,0,0
e51ab21,2017-08-02T10:15:57Z,36.81392,60.09746,36000,393,0,0
e51d2a1,2017-08-02T10:22:52Z,29.99342,59.63458,39975,416,0,0
e51ab21,2017-08-02T10:31:55Z,33.37198,59.8706,36000,397,0,0
e528944,2017-08-02T10:17:13Z,28.95044,35.68477,40000,479,0,0
e528944,2017-08-02T10:15:50Z,29.11488,35.5588,40000,485,0,-64
e529378,2017-08-02T10:17:12Z,28.72737,41.1259,5525,283,0,2688
e51e68c,2017-08-02T10:40:25Z,-22.90774,36.41461,35000,495,0,0
e529378,2017-08-02T10:16:30Z,28.78114,41.09094,3675,268,0,3008
e5259c3,2017-08-02T10:26:56Z,33.73946,41.55629,40000,465,0,0
e51e2e8,2017-08-02T10:41:22Z,-28.05292,60.6917,37000,500,0,0
e52b165,2017-08-02T10:41:27Z,-22.60944,63.98478,0,21,1,0
e529378,2017-08-02T10:28:36Z,27.35291,41.98242,32800,501,0,2112
e52b165,2017-08-02T10:44:27Z,-22.60946,63.96505,0,26,1,0
e51d2a1,2017-08-02T10:44:27Z,25.20054,58.86017,40000,440,0,0
e51e68c,2017-08-02T10:44:46Z,-22.51799,36.91576,35000,501,0,0
e528944,2017-08-02T10:20:19Z,28.57425,35.97066,40000,483,0,0
e52b165,2017-08-02T10:44:51Z,-22.60802,63.96463,0,15,1,0
e5259c3,2017-08-02T10:22:51Z,34.39952,41.38624,40000,463,0,0
e51d2a1,2017-08-02T10:23:10Z,29.92604,59.62881,40000,416,0,-64
e529378,2017-08-02T10:46:35Z,24.43558,43.1683,36000,484,0,0
e51e68c,2017-08-02T10:31:51Z,-23.68055,35.39734,35000,497,0,0
e51e68c,2017-08-02T10:47:38Z,-22.24598,37.17594,35000,501,0,0
e51e68c,2017-08-02T10:24:35Z,-24.18732,34.50559,35000,491,0,0
e529378,2017-08-02T10:49:17Z,23.99599,43.33306,36000,483,0,0
e51d2a1,2017-08-02T10:26:36Z,29.14966,59.55894,40000,427,0,0
e529378,2017-08-02T10:26:15Z,27.69422,41.77322,27475,495,0,1920
e529378,2017-08-02T10:43:37Z,24.92884,42.98043,36000,491,0,0
e51e68c,2017-08-02T10:49:55Z,-22.03833,37.52194,35000,497,0,0
e528944,2017-08-02T10:28:16Z,27.62946,36.73018,39975,489,0,-64
e51e2e8,2017-08-02T10:52:19Z,-25.0554,60.13591,37000,503,0,0
e52b165,2017-08-02T10:52:18Z,-22.17369,64.00306,10725,295,0,1216
e5259c3,2017-08-02T10:30:56Z,33.08171,41.72122,40000,468,0,0
e52b165,2017-08-02T10:46:47Z,-22.6073,63.96462,0,15,1,0
e5259c3,2017-08-02T10:29:14Z,33.36348,41.65118,40000,467,0,0
e528944,2017-08-02T10:55:23Z,24.64436,39.52197,40000,487,0,0
e51d2a1,2017-08-02T10:48:36Z,24.2982,58.65639,40000,443,0,0
e51ab21,2017-08-02T10:56:44Z,28.04905,59.44684,36000,390,0,-64
e5259c3,2017-08-02T10:40:47Z,31.44978,42.11084,40000,469,0,0
e51ab21,2017-08-02T10:55:25Z,28.32304,59.47926,36000,394,0,0
e51e68c,2017-08-02T10:41:26Z,-22.81802,36.53061,35000,494,0,0
e51e2e8,2017-08-02T10:56:06Z,-24.15816,59.9579,37000,501,0,0
e51ab21,2017-08-02T10:42:07Z,31.15329,59.72952,36000,398,0,0
e5259c3,2017-08-02T10:50:15Z,29.84762,42.48255,40000,484,0,0
e51d2a1,2017-08-02T10:58:25Z,22.22482,58.16149,39975,438,0,0
e51e2e8,2017-08-02T10:40:46Z,-28.19048,60.71362,37000,500,0,0
e51e2e8,2017-08-02T10:50:57Z,-25.41004,60.20564,37000,503,0,0
e5259c3,2017-08-02T10:43:48Z,30.94556,42.22559,40000,473,0,0
e51e68c,2017-08-02T10:42:25Z,-22.7275,36.64737,35000,496,0,0
e52b165,2017-08-02T10:58:24Z,-20.94954,63.74534,23100,385,0,1664
e529378,2017-08-02T10:53:00Z,23.38649,43.55708,36000,480,0,0
e51e68c,2017-08-02T10:45:14Z,-22.47454,36.95862,35000,501,0,0
e52b165,2017-08-02T10:53:19Z,-21.99029,63.9571,12650,340,0,2496
e5259c3,2017-08-02T11:00:20Z,28.35642,43.29213,40000,486,0,-64
e51ab21,2017-08-02T11:00:00Z,27.40029,59.3206,36000,391,0,0
